CRN,Crse,Sect,Title,Course,Cr,GM,Type,Days,Time,Loc,P-Term,Dates,Instructor,Fee,Max,Enrl,AVL,XL-Max,XL-Enrl,Wait,Rsrvd,Status,Lib Ed,Perm
21702,KNS 307L,01 ,Research Methods Lab,KNS 307L Research Methods Lab,0,X,CLAS ,F,11:00-12:20  ,SLC 313 ,Full Term,01/11/2023-04/24/2023 ,"Choe, K  ",-,25 ,25 ,0 ,-,-,0,-,Closed ,-,-
20128,KNS 311,01 ,Biomechanics,KNS 311 Biomechanics,4,L,CLAS ,TR,09:30-10:50  ,SLC 313 ,Full Term,01/11/2023-04/24/2023 ,"Choe, K  ",-,24 ,16 ,8 ,-,-,-,-,Open ,-,-
20134,KNS 311L,01 ,Biomechanics Lab,KNS 311L Biomechanics Lab,0,X,CLAS ,W,15:00-16:20  ,SLC 100 ,Full Term,01/11/2023-04/24/2023 ,"Choe, K  ",-,12 ,3 ,9 ,-,-,0,-,Open ,-,-
20135,KNS 311L,02 ,Biomechanics Lab,KNS 311L Biomechanics Lab,0,X,CLAS ,W,13:30-14:50  ,SLC 100 ,Full Term,01/11/2023-04/24/2023 ,"Choe, K  ",-,13 ,13 ,0 ,-,-,0,-,Closed ,-,-
22384,KNS 313,1 ,Exercise Physiology,KNS 313 Exercise Physiology,4,L,CLAS ,TR,08:00-09:20  ,SLC 311 ,Full Term,01/11/2023-04/24/2023 ,"Van Oosbree, T  ",-,20 ,20 ,0 ,-,-,0,-,Closed ,-,-
22385,KNS 313,2 ,Exercise Physiology,KNS 313 Exercise Physiology,4,L,CLAS ,MWF,08:00-08:50  ,SLC 311 ,Full Term,01/11/2023-04/24/2023 ,"Van Oosbree, T  ",-,21 ,21 ,0 ,-,-,0,-,Closed ,-,-
22386,KNS 313L,1 ,Exercise Physiology Lab,KNS 313L Exercise Physiology Lab,0,X,CLAS ,M,13:30-14:50  ,SLC 100 ,Full Term,01/11/2023-04/24/2023 ,"Van Oosbree, T  ",-,10 ,10 ,0 ,-,-,0,-,Closed ,-,-
22387,KNS 313L,2 ,Exercise Physiology Lab,KNS 313L Exercise Physiology Lab,0,X,CLAS ,M,15:00-16:20  ,SLC 100 ,Full Term,01/11/2023-04/24/2023 ,"Van Oosbree, T  ",-,10 ,10 ,0 ,-,-,0,-,Closed ,-,-
22388,KNS 313L,3 ,Exercise Physiology Lab,KNS 313L Exercise Physiology Lab,0,X,CLAS ,T,13:30-14:50  ,SLC 100 ,Full Term,01/11/2023-04/24/2023 ,"Van Oosbree, T  ",-,10 ,10 ,0 ,-,-,0,-,Closed ,-,-
22389,KNS 313L,4 ,Exercise Physiology Lab,KNS 313L Exercise Physiology Lab,0,X,CLAS ,T,15:00-16:20  ,SLC 100 ,Full Term,01/11/2023-04/24/2023 ,"Van Oosbree, T  ",-,11 ,11 ,0 ,-,-,0,-,Closed ,-,-
20131,KNS 340,01 ,History & Philosophy of Sport & Leisure,KNS 340 History & Philosophy of Sport & Leisure,3,L,CLAS ,MWF,09:00-09:50  ,SLC 507 ,Full Term,01/11/2023-04/24/2023 ,"Jensen, M  ",-,25 ,26 ,-1 ,-,-,0,-,Closed ,-,-
20826,KNS 370,01 ,Cardiovascular Health,KNS 370 Cardiovascular Health,4,L,CLAS ,MW,12:00-13:20  ,SLC 330 ,Full Term,01/11/2023-04/24/2023 ,"Householder, M  ",-,12 ,12 ,0 ,24 ,22 ,-,-,Closed ,CON2,-
20132,KNS 382,01 ,Social Issues in Sport,KNS 382 Social Issues in Sport,3,L,CLAS ,TR,13:30-14:50  ,ONLINE  ,Full Term,01/11/2023-04/24/2023 ,"Barlow, K  ",-,26 ,26 ,0 ,-,-,0,-,Closed ,CUL4,-
21077,KNS 440,01 ,Motor Learning & Control,KNS 440 Motor Learning & Control,4,L,CLAS ,TR,08:00-09:20  ,ONLINE  ,Full Term,01/11/2023-04/24/2023 ,"Barlow, K  ",-,20 ,13 ,7 ,-,-,-,-,Open ,-,-
21078,KNS 440L,01 ,Motor Learning & Control Lab,KNS 440L Motor Learning & Control Lab,0,X,CLAS ,M,13:30-14:50  ,ONLINE  ,Full Term,01/11/2023-04/23/2023 ,"Barlow, K  ",-,10 ,8 ,2 ,-,-,0,-,Open ,-,-
21079,KNS 440L,02 ,Motor Learning & Control Lab,KNS 440L Motor Learning & Control Lab,0,X,CLAS ,M,15:00-16:20  ,ONLINE  ,Full Term,01/11/2023-04/24/2023 ,"Barlow, K  ",-,10 ,5 ,5 ,-,-,0,-,Open ,-,-
20133,KNS 489,01 ,Seminar in Kinesiology & Nutrition,KNS 489 Seminar in Kinesiology & Nutrition,2,L,CLAS ,F,12:00-13:20  ,SLC 207 ,Full Term,01/11/2023-04/24/2023 ,"Van Oosbree, T  ",-,10 ,5 ,5 ,-,-,0,-,Open ,COM4,-
21474,KNS 489,02 ,Seminar in Kinesiology & Nutrition,KNS 489 Seminar in Kinesiology & Nutrition,2,L,CLAS ,F,12:00-13:20  ,SLC 201 ,Full Term,01/11/2023-04/24/2023 ,"Householder, M  ",-,6 ,6 ,0 ,-,-,0,-,Closed ,COM4,-
21476,KNS 489,04 ,Seminar in Kinesiology & Nutrition,KNS 489 Seminar in Kinesiology & Nutrition,2,L,CLAS ,F,12:30-13:20  ,SLC 100 ,Full Term,01/11/2023-04/24/2023 ,"Choe, K  ",-,5 ,3 ,2 ,-,-,0,-,Open ,COM4,-
22270,LAT 221,01 ,Intermediate Spanish II,LAT 221 Intermediate Spanish II,3,L,CLAS ,MWF,10:00-10:50  ,HV 113 ,Full Term,01/11/2023-04/24/2023 ,"Flores, J  ",13,25 ,0 ,25 ,25 ,17 ,-,-,Open ,CUL6,-
22271,LAT 225,01 ,Latino Lit. & Cultural Prod.,LAT 225 Latino Lit. & Cultural Prod.,3,L,CLAS ,MW,12:00-13:20  ,SLC 510 ,Full Term,01/11/2023-04/24/2023 ,"Flores, J  ",13,25 ,11 ,14 ,25 ,19 ,-,-,Open ,CUL6,-
22304,LAT 348,01 ,US/Mexico Border Studies,LAT 348 US/Mexico Border Studies,3,L,CLAS ,TR,13:30-14:50  ,HV 003 ,Full Term,01/11/2023-04/23/2023 ,"Orozco, J  ",-,15 ,1 ,14 ,15 ,13 ,-,-,Open ,CUL6,-
22480,LAT 350,1 ,Latin American Liberation Theologies,LAT 350 Latin American Liberation Theologies,3,L,CLAS ,MW,13:30-14:50  ,SLC 205 ,Full Term,01/11/2023-04/24/2023 ,"Carbine, R  ",-,20 ,11 ,9 ,20 ,11 ,0,-,Open ,CUL3,-
22267,LAT 371,01 ,Modern and Cont Latinx Vis Cul,LAT 371 Modern and Cont Latinx Vis Cul,3,L,CLAS ,MW,15:00-16:20  ,HV 113 ,Full Term,01/11/2023-04/24/2023 ,"Valencia, J  ",-,20 ,2 ,18 ,20 ,19 ,-,-,Open ,CUL3,-
21887,MATH 074,1 ,Transition to College Mathematics,MATH 074 Transition to College Mathematics,1,P,CLAS ,MWF,09:00-09:50  ,-,Full Term,01/11/2023-04/24/2023 ,"Jordan, R  ",-,24 ,16 ,8 ,-,-,0,-,Open ,-,-
20139,MATH 076,01 ,College Algebra,MATH 076 College Algebra,3,L,CLAS ,MWF,13:30-14:20  ,SLC 309 ,Full Term,01/11/2023-04/24/2023 ,"Coya, B  ",-,24 ,12 ,12 ,-,-,0,-,Open ,-,-
21081,MATH 076,02 ,College Algebra,MATH 076 College Algebra,3,L,CLAS ,MWF,10:00-10:50  ,SLC 507 ,Full Term,01/11/2023-04/24/2023 ,"Wong, G  ",-,24 ,15 ,9 ,-,-,0,-,Open ,-,-
21213,MATH 076,03 ,College Algebra,MATH 076 College Algebra,3,L,CLAS ,MWF,11:00-11:50  ,SLC 507 ,Full Term,01/11/2023-04/24/2023 ,"Wong, G  ",-,24 ,23 ,1 ,-,-,0,-,Open ,-,-
20141,MATH 079,01 ,Quantitative Reasoning,MATH 079 Quantitative Reasoning,3,L,CLAS ,TR,13:30-14:50  ,SLC 508 ,Full Term,01/11/2023-04/24/2023 ,"Lutgen, J  ",-,24 ,11 ,13 ,-,-,0,-,Open ,COM1,-
20146,MATH 080,1 ,Elementary Statistics,MATH 080 Elementary Statistics,3,L,CLAS ,TR,09:30-10:50  ,SLC 510 ,Full Term,01/11/2023-04/24/2023 ,"Kozek, M  ",-,24 ,23 ,1 ,-,-,0,-,Open ,COM1,-
20148,MATH 080,2 ,Elementary Statistics,MATH 080 Elementary Statistics,3,L,CLAS ,TR,11:00-12:20  ,SLC 416 ,Full Term,01/11/2023-04/24/2023 ,"Kozek, M  ",-,24 ,22 ,2 ,-,-,0,-,Open ,COM1,-
20149,MATH 080,3 ,Elementary Statistics,MATH 080 Elementary Statistics,3,L,CLAS ,MW,12:00-13:20  ,SLC 311 ,Full Term,01/11/2023-04/24/2023 ,"Lopez, R  ",-,24 ,25 ,-1 ,-,-,0,-,Closed ,COM1,-
20774,MATH 080,4 ,Elementary Statistics,MATH 080 Elementary Statistics,3,L,CLAS ,TR,15:00-16:20  ,SLC 418 ,Full Term,01/11/2023-04/24/2023 ,"Lopez, R  ",-,24 ,13 ,11 ,-,-,0,-,Open ,COM1,-
20151,MATH 085,01 ,Precalculus Mathematics,MATH 085 Precalculus Mathematics,4,L,CLAS ,MTWF,10:00-10:50  ,SLC 418 ,Full Term,01/11/2023-04/24/2023 ,"Riskin, A  ",-,24 ,12 ,12 ,-,-,0,-,Open ,COM1,-
20153,MATH 085,02 ,Precalculus Mathematics,MATH 085 Precalculus Mathematics,4,L,CLAS ,MTWF,11:00-11:50  ,SLC 418 ,Full Term,01/11/2023-04/24/2023 ,"Riskin, A  ",-,24 ,20 ,4 ,-,-,0,-,Open ,COM1,-
21149,MATH 085,03 ,Precalculus Mathematics,MATH 085 Precalculus Mathematics,4,L,CLAS ,MTWR,13:30-14:20  ,SLC 200 ,Full Term,01/11/2023-04/24/2023 ,"Lopez, R  ",-,24 ,17 ,7 ,-,-,0,-,Open ,COM1,-
21790,MATH 141,01 ,Calculus & Analytical Geometry I,MATH 141 Calculus & Analytical Geometry I,4,L,CLAS ,MTWF,10:00-10:50  ,SLC 228 ,Full Term,01/11/2023-04/24/2023 ,"Coya, B  ",-,24 ,17 ,7 ,-,-,0,-,Open ,COM1,-
21793,MATH 142,02 ,Calculus & Analytical Geometry II,MATH 142 Calculus & Analytical Geometry II,4,L,CLAS ,MWRF,11:00-11:50  ,SLC 228 ,Full Term,01/11/2023-04/24/2023 ,"Jordan, R  ",-,24 ,21 ,3 ,-,-,0,-,Open ,COM1,-
21758,MATH 220,01 ,Discrete Mathematics,MATH 220 Discrete Mathematics,3,L,CLAS ,MWF,10:00-10:50  ,SLC 205 ,Full Term,01/11/2023-04/24/2023 ,"Jordan, R  ",-,24 ,20 ,4 ,-,-,0,-,Open ,COM1,-
20154,MATH 242,01 ,Introduction to Applied Elementary Linear Algebra,MATH 242 Introduction to Applied Elementary Linear Algebra,3,L,CLAS ,MWF,09:00-09:50  ,SLC 418 ,Full Term,01/11/2023-04/24/2023 ,"Riskin, A  ",-,18 ,18 ,0 ,-,-,0,-,Closed ,-,-
22397,MATH 305,1 ,Number Theory,MATH 305 Number Theory,3,L,CLAS ,MWF,11:00-11:50  ,SLC 205 ,Full Term,01/11/2023-04/24/2023 ,"Kozek, M  ",-,20 ,8 ,12 ,-,-,0,-,Open ,-,-
22398,MATH 344,1 ,Complex Variables,MATH 344 Complex Variables,3,L,CLAS ,MWF,09:00-09:50  ,SLC 205 ,Full Term,01/11/2023-04/24/2023 ,"Coya, B  ",-,20 ,6 ,14 ,-,-,0,-,Open ,-,-
