CRN,Crse,Sect,Title,Course,Cr,GM,Type,Days,Time,Loc,P-Term,Dates,Instructor,Fee,Max,Enrl,AVL,XL-Max,XL-Enrl,Wait,Rsrvd,Status,Lib Ed,Perm
20166,MUS 198,17 ,Priv Inst - Guitar,MUS 198 Priv Inst - Guitar,0-2,L,CLAS ,-,-,-,Full Term,01/11/2023-04/24/2023 ,"Barany, B  ",-,30 ,1 ,29 ,-,-,0,-,Open ,-,IN 
20167,MUS 198,18 ,Priv Inst - Oboe,MUS 198 Priv Inst - Oboe,0-2,L,CLAS ,-,-,-,Full Term,01/11/2023-04/24/2023 ,"LeVelle, T  ",-,30 ,0 ,30 ,-,-,0,-,Open ,-,IN 
20169,MUS 198,19 ,Priv Inst - Organ,MUS 198 Priv Inst - Organ,0-2,L,CLAS ,-,-,-,Full Term,01/11/2023-04/24/2023 ,"LeVelle, T  ",-,30 ,1 ,29 ,-,-,0,-,Open ,-,IN 
20172,MUS 198,20 ,Priv Inst - Sax,MUS 198 Priv Inst - Sax,0-2,L,CLAS ,-,-,-,Full Term,01/11/2023-04/24/2023 ,"LeVelle, T  ",-,30 ,0 ,30 ,-,-,0,-,Open ,-,IN 
20174,MUS 198,21 ,Priv Inst - Sax Jazz,MUS 198 Priv Inst - Sax Jazz,0-2,L,CLAS ,-,-,-,Full Term,01/11/2023-04/24/2023 ,"LeVelle, T  ",-,30 ,0 ,30 ,-,-,0,-,Open ,-,IN 
20175,MUS 198,22 ,Priv Inst - Trombone,MUS 198 Priv Inst - Trombone,0-2,L,CLAS ,-,-,-,Full Term,01/11/2023-04/24/2023 ,"LeVelle, T  ",-,30 ,0 ,30 ,-,-,0,-,Open ,-,IN 
20179,MUS 198,23 ,Priv Inst - Voice,MUS 198 Priv Inst - Voice,0-2,L,CLAS ,-,-,-,Full Term,01/11/2023-04/24/2023 ,"Landis, M  ",-,30 ,12 ,18 ,-,-,0,-,Open ,-,IN 
21207,MUS 198,06 ,Priv Inst - Recording Tech.,MUS 198 Priv Inst - Recording Tech.,0-2,L,CLAS ,-,-,-,Full Term,01/11/2023-04/24/2023 ,"LeVelle, T  ",-,30 ,2 ,28 ,-,-,0,-,Open ,-,IN 
21799,MUS 198,10 ,Priv Inst - Improvisation,MUS 198 Priv Inst - Improvisation,0-2,L,CLAS ,-,-,-,Full Term,01/11/2023-04/24/2023 ,"Ford, J  ",-,30 ,0 ,30 ,-,-,0,-,Open ,-,IN 
21850,MUS 198,24 ,Priv Inst - French Horn,MUS 198 Priv Inst - French Horn,0-2,L,CLAS ,-,-,-,Full Term,01/11/2023-04/24/2023 ,"LeVelle, T  ",-,30 ,0 ,30 ,-,-,0,-,Open ,-,IN 
22102,MUS 198,25 ,Priv Inst - Voice,MUS 198 Priv Inst - Voice,0-2,L,CLAS ,-,-,-,Full Term,01/11/2023-04/24/2023 ,"Grabarchuk, A  ",-,30 ,1 ,29 ,-,-,0,-,Open ,-,IN 
22103,MUS 198,26 ,Priv Inst - Harpsichord,MUS 198 Priv Inst - Harpsichord,0-2,L,CLAS ,-,-,-,Full Term,01/11/2023-04/24/2023 ,"LeVelle, T  ",-,30 ,0 ,30 ,-,-,0,-,Open ,-,IN 
22394,MUS 198,27 ,Priv Inst - Piano,MUS 198 Priv Inst - Piano,0-2,L,CLAS ,-,-,-,Full Term,01/11/2023-04/24/2023 ,"LeVelle, T  ",-,30 ,6 ,24 ,-,-,0,-,Open ,-,IN 
22395,MUS 204,1 ,Music History II,MUS 204 Music History II,3,L,CLAS ,TR,09:30-10:50  ,MB 202 ,Full Term,01/11/2023-04/24/2023 ,"Muller, D  ",-,20 ,12 ,8 ,-,-,0,-,Open ,-,-
21545,MUS 206,01 ,Music in Film,MUS 206 Music in Film,3,L,CLAS ,MW,12:00-13:20  ,MB 202 ,Full Term,01/11/2023-04/24/2023 ,"Grabarchuk, A  ",-,24 ,22 ,2 ,-,-,0,-,Open ,CUL4,-
22396,MUS 310,1 ,Advanced Audio Recording,MUS 310 Advanced Audio Recording,2,L,CLAS ,T,19:00-21:50  ,MB 110 ,Full Term,01/11/2023-04/24/2023 ,"Mejia, C  ",50,10 ,4 ,6 ,-,-,0,-,Open ,-,-
21021,MUS 400B,01 ,Senior Seminar in Music,MUS 400B Senior Seminar in Music,1,L,CLAS ,-,-,-,Full Term,01/11/2023-04/24/2023 ,"Grabarchuk, A  ",-,10 ,2 ,8 ,-,-,0,-,Open ,COM4,-
22497,MUS 400B,2 ,Senior Seminar in Music,MUS 400B Senior Seminar in Music,1,L,CLAS ,-,-,-,Full Term,01/11/2023-04/24/2023 ,"LeVelle, T  ",-,10 ,1 ,9 ,-,-,0,-,Open ,COM4,-
22498,MUS 400B,3 ,Senior Seminar in Music,MUS 400B Senior Seminar in Music,1,L,CLAS ,-,-,-,Full Term,01/11/2023-04/24/2023 ,"Muller, D  ",-,10 ,2 ,8 ,-,-,-,-,Open ,COM4,-
21488,PHIL 105,02 ,Introduction to Ethics,PHIL 105 Introduction to Ethics,3,L,CLAS ,MWF,10:00-10:50  ,BALL  ,Full Term,01/11/2023-04/24/2023 ,"Cosand, J  ",-,25 ,22 ,3 ,-,-,0,-,Open ,-,-
22515,PHIL 105,2 ,Introduction to Ethics,PHIL 105 Introduction to Ethics,3,L,CLAS ,MWF,09:00-09:50  ,HV 113 ,Full Term,01/11/2023-04/24/2023 ,"Cosand, J  ",-,25 ,19 ,6 ,-,-,0,-,Open ,-,-
21043,PHIL 250,01 ,Philosophy of Love and Human Sexuality,PHIL 250 Philosophy of Love and Human Sexuality,3,L,CLAS ,TR,09:30-10:50  ,ONLINE  ,Full Term,01/11/2023-04/24/2023 ,"Switzer, M  ",-,25 ,10 ,15 ,25 ,12 ,0,-,Open ,-,-
22399,PHIL 270,1 ,History of Social Thought,PHIL 270 History of Social Thought,3,L,CLAS ,TR,11:00-12:20  ,ONLINE  ,Full Term,01/11/2023-04/24/2023 ,"Switzer, M  ",-,18 ,14 ,4 ,-,-,0,-,Open ,COM2,-
21999,PHIL 302,1 ,Development of Buddhist Philosophical Thought,PHIL 302 Development of Buddhist Philosophical Thought,3,L,CLAS ,MWF,13:30-14:20  ,BALL  ,Full Term,01/11/2023-04/24/2023 ,"Kjellberg, P  ",-,25 ,12 ,13 ,-,-,0,-,Open ,CUL2,-
22000,PHIL 315,1 ,Modern Philosophy,PHIL 315 Modern Philosophy,3,L,CLAS ,MWF,11:00-11:50  ,BALL  ,Full Term,01/11/2023-04/24/2023 ,"Kjellberg, P  ",-,25 ,17 ,8 ,-,-,0,-,Open ,CUL5,-
22400,PHIL 340,1 ,Contemporary Social Philosophy,PHIL 340 Contemporary Social Philosophy,3,L,CLAS ,TR,13:30-14:50  ,ONLINE  ,Full Term,01/11/2023-04/24/2023 ,"Switzer, M  ",-,15 ,3 ,12 ,-,-,0,-,Open ,CUL6,-
20677,PHYS 101,01 ,"Astronomy of Stars, Galaxies and the Universe","PHYS 101 Astronomy of Stars, Galaxies and the Universe",3,L,CLAS ,MW,15:00-16:20  ,SLC 232 ,Full Term,01/11/2023-04/24/2023 ,"Piner, G  ",30,24 ,23 ,1 ,-,-,0,-,Open ,-,-
22401,PHYS 101,2 ,"Astronomy of Stars, Galaxies and the Universe","PHYS 101 Astronomy of Stars, Galaxies and the Universe",3,L,CLAS ,TR,15:00-16:20  ,SLC 232 ,Full Term,01/11/2023-04/24/2023 ,"Piner, G  ",30,24 ,23 ,1 ,-,-,0,-,Open ,-,-
22053,PHYS 108,01 ,Technological & Societal Chg,PHYS 108 Technological & Societal Chg,4,L,CLAS ,MW,19:00-20:50  ,SLC 204 ,Full Term,01/11/2023-04/24/2023 ,"Camparo, J  ",-,30 ,14 ,16 ,-,-,0,-,Open ,CON2,-
20201,PHYS 135B,01 ,"Algebra-based Physics II (Electricity, Magnetism and Modern Physics)","PHYS 135B Algebra-based Physics II (Electricity, Magnetism and Modern Physics)",4,L,CLAS ,MW,08:50-10:50  ,SLC 232 ,Full Term,01/11/2023-04/24/2023 ,"Zorba, S  ",30,24 ,12 ,12 ,-,-,0,-,Open ,-,-
20518,PHYS 135B,02 ,"Algebra-based Physics II (Electricity, Magnetism and Modern Physics)","PHYS 135B Algebra-based Physics II (Electricity, Magnetism and Modern Physics)",4,L,CLAS ,TR,08:50-10:50  ,SLC 232 ,Full Term,01/11/2023-04/24/2023 ,"Zorba, S  ",30,24 ,11 ,13 ,-,-,0,-,Open ,-,-
20199,PHYS 180,01 ,Calculus-Based Phys II (EM),PHYS 180 Calculus-Based Phys II (EM),4,L,CLAS ,MWF,13:30-15:00  ,SLC 228 ,Full Term,01/11/2023-04/24/2023 ,"Lagan, S  ",30,24 ,18 ,6 ,-,-,0,-,Open ,COM1,-
22403,PHYS 315,1 ,Statistical Physics,PHYS 315 Statistical Physics,3,L,CLAS ,TR,13:30-14:50  ,SLC 228 ,Full Term,01/11/2023-04/24/2023 ,"Lagan, S  ",-,24 ,2 ,22 ,-,-,0,-,Open ,-,-
22404,PHYS 360,1 ,Astrophysics,PHYS 360 Astrophysics,3,L,CLAS ,MW,12:00-13:20  ,SLC 232 ,Full Term,01/11/2023-04/24/2023 ,"Piner, G  ",-,24 ,8 ,16 ,-,-,0,-,Open ,-,-
22405,PHYS 380,1 ,Experimental Physics,PHYS 380 Experimental Physics,3,L,CLAS ,MW,15:00-16:20  ,SLC 104 ,Full Term,01/11/2023-04/24/2023 ,"Zorba, S  ",40,16 ,6 ,10 ,-,-,0,-,Open ,-,-
21960,PHYS 499,1 ,Senior Seminar,PHYS 499 Senior Seminar,2,L,CLAS ,TR,15:30-16:20  ,SLC 228 ,Full Term,01/11/2023-04/24/2023 ,"Zorba, S  ",-,12 ,5 ,7 ,-,-,0,-,Open ,COM4,-
20203,PLSC 028,01 ,Model UN Conference,PLSC 028 Model UN Conference,1,L,CLAS ,T,19:00-21:00  ,SLC 204 ,Full Term,01/11/2023-04/24/2023 ,"McBride, M  ",-,30 ,16 ,14 ,-,-,0,-,Open ,-,-
21188,PLSC 110,01 ,American Government & Politics,PLSC 110 American Government & Politics,3,L,CLAS ,MW,12:00-13:20  ,PL 202 ,Full Term,01/11/2023-04/24/2023 ,"Hanlon, J  ",-,30 ,19 ,11 ,-,-,0,-,Open ,CUL4,-
20206,PLSC 140,01 ,Comparative Politics,PLSC 140 Comparative Politics,3,L,CLAS ,TR,09:30-10:50  ,DH 004 ,Full Term,01/11/2023-04/24/2023 ,"Norden, D  ",-,25 ,19 ,6 ,-,-,0,-,Open ,CUL6,-
22407,PLSC 202,1 ,Presidency and Congress,PLSC 202 Presidency and Congress,3,L,CLAS ,MW,08:30-09:50  ,ONLINE  ,Full Term,01/11/2023-04/24/2023 ,"Cogan, N  ",-,25 ,24 ,1 ,-,-,0,-,Open ,-,-
22408,PLSC 203,1 ,Race & Ethnicity in American Politics,PLSC 203 Race & Ethnicity in American Politics,3,L,CLAS ,TR,15:00-16:20  ,PL 202 ,Full Term,01/11/2023-04/24/2023 ,"Angevine, S  ",-,25 ,19 ,6 ,-,-,0,-,Open ,CUL4,-
22409,PLSC 205,1 ,Gender & Sexuality in US Polit,PLSC 205 Gender & Sexuality in US Polit,3,L,CLAS ,TR,09:30-10:50  ,SLC 509 ,Full Term,01/11/2023-04/24/2023 ,"Angevine, S  ",-,25 ,9 ,16 ,25 ,18 ,0,-,Open ,CUL4,-
22295,PLSC 220,01 ,International Relations,PLSC 220 International Relations,3,L,CLAS ,MWF,10:00-10:50  ,DH 104 ,Full Term,01/11/2023-04/24/2023 ,"McBride, M  ",-,25 ,21 ,4 ,-,-,-,-,Open ,CUL6,-
20210,PLSC 228,01 ,International Organizations,PLSC 228 International Organizations,3,L,CLAS ,TR,08:00-09:20  ,DH 104 ,Full Term,01/11/2023-04/24/2023 ,"McBride, M  ",-,30 ,13 ,17 ,-,-,0,-,Open ,CUL6,-
22056,PLSC 262,01 ,Environmental Policy,PLSC 262 Environmental Policy,3,L,CLAS ,MW,15:00-16:20  ,SLC 510 ,Full Term,01/11/2023-04/24/2023 ,"Hanlon, J  ",-,25 ,6 ,19 ,25 ,12 ,0,-,Open ,-,-
22219,PLSC 321,01 ,Political Economy of Development,PLSC 321 Political Economy of Development,3,L,CLAS ,TR,13:30-14:50  ,SLC 507 ,Full Term,01/11/2023-04/24/2023 ,"Bezares Calderon, A  ",-,25 ,1 ,24 ,25 ,10 ,0,-,Open ,-,-
22057,PLSC 360,01 ,The Policy Process,PLSC 360 The Policy Process,3,L,CLAS ,MWF,10:00-10:50  ,MB 202 ,Full Term,01/11/2023-04/24/2023 ,"Hanlon, J  ",-,25 ,8 ,17 ,-,-,0,-,Open ,-,-
22188,PLSC 372,01 ,American Constitutional Law,PLSC 372 American Constitutional Law,3,L,CLAS ,MW,12:00-13:20  ,ONLINE  ,Full Term,01/11/2023-04/24/2023 ,"Cogan, N  ",-,17 ,14 ,3 ,-,-,0,-,Open ,-,-
22411,PLSC 376,1 ,Law and the Courts,PLSC 376 Law and the Courts,4,L,CLAS ,MW,15:00-16:20  ,ONLINE  ,Full Term,01/11/2023-04/24/2023 ,"Cogan, N  ",-,17 ,10 ,7 ,-,-,0,-,Open ,-,-
20328,PLSC 380,01 ,Normative Political Theory,PLSC 380 Normative Political Theory,3,L,CLAS ,TR,09:30-10:50  ,DH 104 ,Full Term,01/11/2023-04/24/2023 ,"McBride, M  ",-,27 ,17 ,10 ,-,-,0,-,Open ,CUL5,-
21935,PLSC 400,1 ,Seminar in American Politics,PLSC 400 Seminar in American Politics,3,L,CLAS ,TR,13:30-14:50  ,PL 202 ,Full Term,01/11/2023-04/24/2023 ,"Angevine, S  ",-,15 ,2 ,13 ,-,-,0,-,Open ,-,IN 
20243,PSYC 100,01 ,Introductory Psychology,PSYC 100 Introductory Psychology,3,L,CLAS ,TR,09:30-10:50  ,SLC 204 ,Full Term,01/11/2023-04/24/2023 ,"Hill, C  ",-,35 ,35 ,0 ,-,-,0,-,Closed ,-,-
21603,PSYC 100,02 ,Introductory Psychology,PSYC 100 Introductory Psychology,3,L,CLAS ,TR,13:30-14:50  ,SLC 204 ,Full Term,01/11/2023-04/24/2023 ,"Hill, C  ",-,36 ,36 ,0 ,-,-,-,-,Closed ,-,-
22049,PSYC 143,01 ,Life Span Development,PSYC 143 Life Span Development,3,L,CLAS ,TR,09:30-10:50  ,SLC 200 ,Full Term,01/11/2023-04/24/2023 ,"Kaatz, M  ",-,27 ,28 ,-1 ,-,-,-,-,Closed ,-,-
20245,PSYC 214,02 ,Statistics,PSYC 214 Statistics,3,L,CLAS ,MWF,11:00-11:50  ,SLC 200 ,Full Term,01/11/2023-04/24/2023 ,"Hash, J  ",-,25 ,21 ,4 ,25 ,25 ,0,-,XL-Closed ,COM1,-
20256,PSYC 214L,02 ,Statistics - SPSS,PSYC 214L Statistics - SPSS,1,L,CLAS ,F,12:00-12:50  ,ONLINE  ,Full Term,01/11/2023-04/24/2023 ,"Hash, J  ",-,25 ,22 ,3 ,25 ,26 ,-,-,XL-Closed ,-,-
22215,PSYC 222,02 ,Biological Bases of Behavior,PSYC 222 Biological Bases of Behavior,3,L,CLAS ,TR,13:30-14:50  ,SLC 309 ,Full Term,01/11/2023-04/24/2023 ,"Kaatz, M  ",-,27 ,25 ,2 ,-,-,-,-,Open ,-,-
20248,PSYC 242,01 ,Child Psychology,PSYC 242 Child Psychology,3,L,CLAS ,MW,12:00-13:20  ,SLC 418 ,Full Term,01/11/2023-04/24/2023 ,"Camparo, L  ",-,25 ,25 ,0 ,-,-,0,-,Closed ,-,-
22413,PSYC 285,1 ,Forensic Psychology,PSYC 285 Forensic Psychology,3,L,CLAS ,TR,15:00-16:20  ,SLC 309 ,Full Term,01/11/2023-04/24/2023 ,"Kaatz, M  ",-,27 ,28 ,-1 ,-,-,-,-,Closed ,-,-
22190,PSYC 344,01 ,Psychology of Adolescence,PSYC 344 Psychology of Adolescence,3,L,CLAS ,MW,15:00-16:20  ,SLC 309 ,Full Term,01/11/2023-04/24/2023 ,"Camparo, L  ",-,25 ,22 ,3 ,-,-,0,-,Open ,-,-
22414,PSYC 345,1 ,Developmental Research,PSYC 345 Developmental Research,4,L,CLAS ,TR,09:30-10:50  ,SLC 205 ,Full Term,01/11/2023-04/24/2023 ,"Camparo, L  ",-,15 ,15 ,0 ,-,-,0,-,Closed ,-,-
22415,PSYC 345L,1 ,Developmental Research Lab,PSYC 345L Developmental Research Lab,0,X,CLAS ,TR,11:00-12:20  ,SLC 205 ,Full Term,01/11/2023-04/24/2023 ,"Camparo, L  ",-,15 ,15 ,0 ,-,-,-,-,Closed ,-,-
21502,PSYC 354,01 ,Diverse Identities,PSYC 354 Diverse Identities,3,L,CLAS ,MWF,13:30-14:20  ,SLC 204 ,Full Term,01/11/2023-04/24/2023 ,"Hill, C  ",-,25 ,24 ,1 ,-,-,0,-,Open ,CUL6,-
22416,PSYC 362,1 ,Psychology of Personality,PSYC 362 Psychology of Personality,3,L,CLAS ,TR,15:00-16:20  ,SLC 311 ,Full Term,01/11/2023-04/24/2023 ,"Pint, P  ",-,25 ,22 ,3 ,-,-,0,-,Open ,-,-
22417,PSYC 364,1 ,Psychology of Women,PSYC 364 Psychology of Women,3,L,CLAS ,TR,13:30-14:50  ,SLC 510 ,Full Term,01/11/2023-04/24/2023 ,"Shaikh, A  ",-,24 ,20 ,4 ,24 ,20 ,0,-,Open ,CUL6,-
21931,PSYC 372,1 ,Abnormal Psychology,PSYC 372 Abnormal Psychology,3,L,CLAS ,TR,11:00-12:20  ,SLC 309 ,Full Term,01/11/2023-04/24/2023 ,"Shaikh, A  ",-,24 ,22 ,2 ,-,-,0,-,Open ,-,-
22191,PSYC 376,01 ,Clinical Communication,PSYC 376 Clinical Communication,4,L,CLAS ,MWF,09:00-09:50  ,SLC 510 ,Full Term,01/11/2023-04/24/2023 ,"Shaikh, A  ",-,18 ,18 ,0 ,-,-,0,-,Closed ,-,-
22192,PSYC 376L,01 ,Clinical Communication Lab,PSYC 376L Clinical Communication Lab,0,X,CLAS ,MWF,10:00-10:50  ,SLC 510 ,Full Term,01/11/2023-04/24/2023 ,"Shaikh, A  ",-,18 ,18 ,0 ,-,-,-,-,Closed ,-,-
22418,PSYC 382,1 ,Health Psychology,PSYC 382 Health Psychology,3,L,CLAS ,MW,12:00-13:20  ,SLC 200 ,Full Term,01/11/2023-04/24/2023 ,"Hash, J  ",-,26 ,26 ,0 ,-,-,0,-,Closed ,-,-
20278,PSYC 396,03 ,Research Practicum,PSYC 396 Research Practicum,0-3,P,CLAS ,-,-,-,Full Term,01/11/2023-04/24/2023 ,"Shaikh, A  ",-,5 ,2 ,3 ,-,-,0,-,Open ,-,IN 
21503,PSYC 396,07 ,Research Practicum,PSYC 396 Research Practicum,0-3,P,CLAS ,-,-,-,Full Term,01/11/2023-04/24/2023 ,"Hash, J  ",-,5 ,1 ,4 ,-,-,0,-,Open ,-,IN 
21930,PSYC 396,1 ,Research Practicum,PSYC 396 Research Practicum,0-3,P,CLAS ,-,-,-,Full Term,01/11/2023-04/24/2023 ,"Hill, C  ",-,5 ,1 ,4 ,-,-,0,-,Open ,-,IN 
22263,PSYC 490,01 ,Selected Topics in PSYC,PSYC 490 Selected Topics in PSYC,3,L,CLAS ,MWF,14:30-15:20  ,SLC 200 ,Full Term,01/11/2023-04/24/2023 ,"Hash, J  ",-,18 ,17 ,1 ,-,-,-,-,Open ,-,-
20254,PSYC 499,01 ,Senior Presentation in Psychology,PSYC 499 Senior Presentation in Psychology,1,L,CLAS ,W,15:30-16:20  ,SLC 200 ,Full Term,01/11/2023-04/24/2023 ,"Hash, J  ",-,18 ,17 ,1 ,-,-,0,-,Open ,COM4,-
22193,REL 101,01 ,Religious Diversity in America,REL 101 Religious Diversity in America,3,L,CLAS ,MW,12:00-13:20  ,SLC 508 ,Full Term,01/11/2023-04/24/2023 ,"Hashmi, I  ",-,25 ,18 ,7 ,-,-,0,-,Open ,CUL4,-
20941,REL 202,01 ,Religions of Asia,REL 202 Religions of Asia,3,L,CLAS ,MWF,10:00-10:50  ,SLC 200 ,Full Term,01/11/2023-04/24/2023 ,"Carbine, J  ",-,25 ,25 ,0 ,-,-,0,-,Closed ,CUL2,-
22247,REL 220,01 ,Religion and Globalization,REL 220 Religion and Globalization,3,L,CLAS ,TR,11:00-12:20  ,DH 104 ,Full Term,01/11/2023-04/24/2023 ,"Carbine, J  ",-,35 ,3 ,32 ,35 ,33 ,0,-,Open ,CUL6,-
22194,REL 235,01 ,Middle East: Muhammad to Mongols,REL 235 Middle East: Muhammad to Mongols,3,L,CLAS ,TR,11:00-12:20  ,SLC 510 ,Full Term,01/11/2023-04/24/2023 ,"Hashmi, I  ",-,25 ,10 ,15 ,25 ,22 ,-,-,Open ,CUL1,-
22419,REL 257,1 ,Black and Womanist Theology,REL 257 Black and Womanist Theology,3,L,CLAS ,TR,13:30-14:50  ,SLC 205 ,Full Term,01/11/2023-04/24/2023 ,"Carbine, R  ",-,20 ,1 ,19 ,20 ,6 ,0,-,Open ,CUL4,-
22420,REL 290,1 ,Asia and the Environment,REL 290 Asia and the Environment,3,L,CLAS ,MW,15:00-16:20  ,PL 203 ,Full Term,01/11/2023-04/24/2023 ,"Carbine, J  ",-,25 ,4 ,21 ,25 ,8 ,0,-,Open ,-,-
22421,REL 341,1 ,New Religious Movements in Southern California,REL 341 New Religious Movements in Southern California,3,L,CLAS ,MW,15:00-16:20  ,HV 205 ,Full Term,01/11/2023-04/24/2023 ,"Hashmi, I  ",-,20 ,1 ,19 ,-,-,0,-,Open ,CUL4,-
22422,REL 350,1 ,Latin American Liberation Theologies,REL 350 Latin American Liberation Theologies,3,L,CLAS ,MW,13:30-14:50  ,SLC 205 ,Full Term,01/11/2023-04/24/2023 ,"Carbine, R  ",-,20 ,0 ,20 ,20 ,11 ,0,-,Open ,CUL3,-
20313,SOC 214,01 ,Statistics,SOC 214 Statistics,3,L,CLAS ,MWF,11:00-11:50  ,SLC 200 ,Full Term,01/11/2023-04/24/2023 ,"Hash, J  ",-,25 ,4 ,21 ,25 ,25 ,0,-,XL-Closed ,COM1,-
20314,SOC 214L,01 ,Statistics - SPSS,SOC 214L Statistics - SPSS,1,L,CLAS ,F,12:00-12:50  ,ONLINE  ,Full Term,01/11/2023-04/24/2023 ,"Hash, J  ",-,25 ,4 ,21 ,25 ,26 ,-,-,XL-Closed ,-,-
22246,SOC 243,01 ,Popular Culture,SOC 243 Popular Culture,3,L,CLAS ,TR,11:00-12:20  ,DH 104 ,Full Term,01/11/2023-04/24/2023 ,"Overmyer-Velazquez, R  ",-,35 ,13 ,22 ,35 ,33 ,0,-,Open ,CUL4,-
22427,SOC 244,1 ,Social Class and Inequality,SOC 244 Social Class and Inequality,3,L,CLAS ,MW,15:00-16:20  ,MB 202 ,Full Term,01/11/2023-04/24/2023 ,"Rodriguez, B  ",-,25 ,6 ,19 ,-,-,0,-,Open ,CUL4,-
22428,SOC 244,2 ,Social Class and Inequality,SOC 244 Social Class and Inequality,3,L,CLAS ,TR,15:00-16:20  ,MB 204 ,Full Term,01/11/2023-04/24/2023 ,"Rodriguez, B  ",-,25 ,11 ,14 ,-,-,0,-,Open ,CUL4,-
22250,SOC 246,01 ,Sociology of Health and Medicine,SOC 246 Sociology of Health and Medicine,3,L,CLAS ,MWF,11:00-11:50  ,DH 104 ,Full Term,01/11/2023-04/24/2023 ,"Collins-Dogrul, J  ",-,25 ,23 ,2 ,-,-,0,-,Open ,-,-
22302,SOC 290,01 ,Topics in Sociology,SOC 290 Topics in Sociology,3,L,CLAS ,TR,13:30-14:50  ,SLC 509 ,Full Term,01/11/2023-04/24/2023 ,"Harris, D  ",-,0 ,0 ,0 ,-,-,-,-,Closed ,-,-
22429,SOC 290,1 ,Housing & Homelessness in LA,SOC 290 Housing & Homelessness in LA,4,L,CLAS ,TR,13:30-14:50  ,DH 104 ,Full Term,01/11/2023-04/24/2023 ,"Rodriguez, B  ",-,25 ,25 ,0 ,-,-,-,-,Closed ,-,-
22430,SOC 300,1 ,"Intersections: Race, Class, Gender","SOC 300 Intersections: Race, Class, Gender",3,L,CLAS ,MW,15:00-16:20  ,MB 204 ,Full Term,01/11/2023-04/24/2023 ,"Collins-Dogrul, J  ",-,20 ,13 ,7 ,20 ,19 ,-,-,Open ,COM2,-
20214,SOC 310,01 ,Approaches to Social Research,SOC 310 Approaches to Social Research,4,L,CLAS ,MWF,09:00-09:50  ,PL 202 ,Full Term,01/11/2023-04/24/2023 ,"Collins-Dogrul, J  ",-,20 ,5 ,15 ,-,-,0,-,Open ,SLC,-
20219,SOC 310L,01 ,Approaches to Social Research Lab,SOC 310L Approaches to Social Research Lab,0,X,CLAS ,MWF,10:00-10:50  ,PL 202 ,Full Term,01/11/2023-04/24/2023 ,"Collins-Dogrul, J  ",-,20 ,5 ,15 ,-,-,-,-,Open ,-,-
22431,SOC 360,1 ,Indigenous Peoples Social Movements,SOC 360 Indigenous Peoples Social Movements,3,L,CLAS ,MW,12:00-13:20  ,SLC 205 ,Full Term,01/11/2023-04/24/2023 ,"Overmyer-Velazquez, R  ",-,25 ,9 ,16 ,25 ,23 ,0,-,Open ,CUL3,-
20962,SOC 408,02 ,Senior Seminar B,SOC 408 Senior Seminar B,3,L,CLAS ,TR,09:30-10:50  ,PL 202 ,Full Term,01/11/2023-04/24/2023 ,"Overmyer-Velazquez, R  ",-,10 ,7 ,3 ,11 ,11 ,0,-,XL-Closed ,COM4,IN 
21612,SOC 412,01 ,Preceptorship,SOC 412 Preceptorship,0-3,L,CLAS ,-,-,-,Full Term,01/11/2023-04/24/2023 ,"Rodriguez, B  ",-,10 ,1 ,9 ,-,-,0,-,Open ,-,-
22264,SOC 412,02 ,Preceptorship,SOC 412 Preceptorship,0-3,L,CLAS ,-,-,-,Full Term,01/11/2023-04/24/2023 ,"Overmyer-Velazquez, R  ",-,10 ,0 ,10 ,-,-,-,-,Open ,-,-
22265,SOC 412,03 ,Preceptorship,SOC 412 Preceptorship,0-3,L,CLAS ,-,-,-,Full Term,01/11/2023-04/24/2023 ,"Collins-Dogrul, J  ",-,10 ,1 ,9 ,-,-,-,-,Open ,-,-
22252,SOWK 240,01 ,Introduction to Social Work,SOWK 240 Introduction to Social Work,3,L,CLAS ,MWF,10:00-10:50  ,MB 204 ,Full Term,01/11/2023-04/24/2023 ,"Hong, G  ",-,25 ,19 ,6 ,-,-,0,-,Open ,-,-
20565,SOWK 310,02 ,Approaches to Social Research,SOWK 310 Approaches to Social Research,3,L,CLAS ,MWF,15:30-16:20  ,SLC 508 ,Full Term,01/11/2023-04/24/2023 ,"Hong, G  ",-,25 ,13 ,12 ,-,-,0,-,Open ,SLC,IN 
20566,SOWK 310L,02 ,Approaches to Social Research Lab,SOWK 310L Approaches to Social Research Lab,1,P,CLAS ,-,-,-,Full Term,01/11/2023-04/24/2023 ,"Vidriales, I  ",-,25 ,13 ,12 ,-,-,-,-,Open ,-,IN 
22200,SOWK 312,01 ,Field Orientation,SOWK 312 Field Orientation,2,P,CLAS ,M,10:00-11:20  ,HV 108 ,Full Term,01/11/2023-04/24/2023 ,"Lawson, S  ",-,25 ,3 ,22 ,-,-,0,-,Open ,-,-
22253,SOWK 325,01 ,"Substance Abuse, Trauma and Prevention","SOWK 325 Substance Abuse, Trauma and Prevention",3,L,CLAS ,MWF,13:30-14:20  ,HV 104 ,Full Term,01/11/2023-04/24/2023 ,"Hong, G  ",-,25 ,14 ,11 ,-,-,0,-,Open ,-,-
