Year,Course,Grade,value
2021,EDUC 531 Asment of Stud w/ Excptnalts,B+,1
2021,EDUC 533 CreatPost ClassrmMang&BhvrSys,B-,1
2021,KNS 250 Appld Musculskltl Anatomy,A-,1
2021,KNS 313 Exercise Physiology,B+,1
2017,REL 244 Muscular Faith,C+,1
2021,BIOL 151 Cell & Molecular Biology,B,1
2021,HIST 200 Europe Before 1700: The Ancien,B-,1
2021,KNS 440 Motor Learning & Control,A-,1
2021,KNS 489 Seminar in Kineslgy&Nutrition,A-,1
2021,KNS 382 Social Issues in Sport,A-,1
2021,ENVS 100 Intro to Environmental Science,B+,1
2021,PSYC 382 Health Psychology,C+,1
2021,"CHDV 211 Child, Family & Community",A,1
2018,EDUC 300 Soc & Hist Perspctvs on Educ,A,1
2018,ENGL 201 Introduction to Journalism,B,1
2016,PSYC 222 Biological Bases of Behavior,B+,1
2016,PSYC 224 Language and the Brain,A-,1
2018,KNS 311 Biomechanics,C,1
2018,KNS 290 Selected Topics in KNS,A,1
2017,BIOL 290 Human Biology,C-,1
2021,MATH 344 Complex Variables,F,1
2021,PSYC 344 Psychology of Adolescence,C+,1
2021,MATH 380 Linear Algebra,F,1
2021,COSC 120 Computer Science I,B,1
2021,MATH 345A Differential Equations I,B+,1
2016,"EDUC 505 MS Curr & Ped: LA w H-SS, V&PA",A,1
2017,EDUC 500 Soc/Anthr Perspective on Educ,A-,1
2017,EDUC 506 Learning and Learners,A,1
2021,EDUC 501 Teaching Diverse Learners,A,1
2021,EDUC 507 MS Curr & Ped: Math & Science,A-,1
2018,EDUC 606 Eductnl Inqry Practicum,A,1
2018,EDUC 605 Introduction Education Inquiry,A,1
2021,EDUC 605 Introduction Education Inquiry,A,1
2021,EDUC 508 SS Curric & Pedagogy I,A,1
2021,WSP 401 Senior Seminar,B,1
2019,BSAD 355 Dynamics of Leading Change,B-,1
2017,FILM 270 Film Genre: Horror,A,1
2021,MUS 076 A World of Music,A-,1
2017,EDUC 401 Teaching Diverse Learners,A,1
2017,EDUC 406 Learning and Learners,A,1
2021,CHDV 220 Fld Mthds:Chld Study Obs/Inter,A-,1
2021,CHDV 390 Selected Topics in CHDV,A-,1
2021,CHDV 497 Senior Seminar in Child Dev.,A,1
2021,CHDV 330 Middle Childhood,B,1
2017,THEA 230 Improvisation,A,1
2021,"EDUC 301 Heritage,Identity,&Empowerment",A,1
2021,EDUC 300 Soc & Hist Perspctvs on Educ,B+,1
2019,"EDUC 505 MS Curr & Ped: LA w H-SS, V&PA",A,1
2019,EDUC 502 Literacy Devlp in Elem School,A,1
2021,EDUC 504 Scnd Lang Acquisition Methdlgy,A,1
2021,EDUC 606 Eductnl Inqry Practicum,A,1
2021,EDUC 605 Introduction Education Inquiry,A,1
2021,EDUC 507 MS Curr & Ped: Math & Science,A-,1
2021,CHDV 315 Infancy through Early Chldhd,A,1
2018,EDUC 290 Adolescent Literature,A,1
2021,EDUC 529 Intro to Exceptional Learners,A,1
2021,EDUC 530 Found in Special Education,A,1
2021,EDUC 531 Asment of Stud w/ Excptnalts,A,1
2016,PSYC 214 Statistics,C+,1
2016,PSYC 214L Statistics - SPSS,A,1
2017,EDUC 500 Soc/Anthr Perspective on Educ,A,1
2017,EDUC 506 Learning and Learners,A-,1
2021,EDUC 501 Teaching Diverse Learners,A,1
2021,EDUC 509 SS Curr & Ped II:,A,1
2021,EDUC 605 Introduction Education Inquiry,A,1
2021,EDUC 606 Eductnl Inqry Practicum,A,1
2021,EDUC 605 Introduction Education Inquiry,A,1
2021,EDUC 509 SS Curr & Ped II:,B,1
2021,KNS 250 Appld Musculskltl Anatomy,F,1
2021,KNS 340 History & Philosophy of Sport,F,1
2021,KNS 150 Introduction to Kinesiology,D,1
2021,MUS 102 History of Jazz,B,1
2021,PHYS 180 Calculus-Based Phys II (EMT),F,1
2021,PSYC 100 Introductory Psychology,B-,1
2021,MATH 141B Calculus & Analytic Geom. II,D,1
2018,INTD 100 College Writing Seminar,B-,1
2021,CHIN 350 Chinese Cinema,B-,1
2021,MATH 141A Calculus & Analytic Geom. I,C,1
2017,ART 100 Introduction to Art 2-D,F,1
2016,PHYS 150 Calculus-Based Phys I (Mech),C+,1
2021,INTD 035 Peer Learn. Associate Training,B,1
2021,SOC 407 Senior Seminar A,C+,1
2021,SOC 408 Senior Seminar B,B-,1
2016,ORGL 100 Foundations of Leadership,A-,1
2021,ENVS 200 Biological Anthropology,B+,1
2016,SOC 354 Political Sociology,A,1
2021,EDUC 605 Introduction Education Inquiry,B-,1
2018,HIST 480 Capstone Seminar,A-,1
2020,HIST 315 Revolutions: America in 60s,B,1
2021,HIST 362 The European City,A-,1
2021,ENGL 202 Writing Short Fiction,B-,1
2017,FILM 270 Film Genre: Horror,C+,1
2017,FILM 270 Film Genre,A,1
2021,"REL 315 The Devil, Jinns, and Others",A,1
2021,EDUC 606 Eductnl Inqry Practicum,A,1
2021,EDUC 605 Introduction Education Inquiry,A,1
2019,EDUC 502 Literacy Devlp in Elem School,A-,1
2021,EDUC 508 SS Curric & Pedagogy I,B,1
2021,EDUC 507 MS Curr & Ped: Math & Science,B,1
2018,EDUC 606 Eductnl Inqry Practicum,A-,1
2018,EDUC 605 Introduction Education Inquiry,A,1
