Year,Course,Grade,value
2021,CHIN 360 Love/Lust Chinese Tradition,A,1
2016,GEN 205 Women and U.S. Politics,A,1
2018,MUS 206 Music in Film,A,1
2021,"ART 190 Whatcha Mean, What�s a zine?",A-,1
2021,PSYC 352 Social Psychology,B,1
2021,PSYC 100 Introductory Psychology,B-,1
2019,ENGL 410 Senior Seminar,B,1
2019,ENGL 400 Critical Proced. in Lang/Lit.,B,1
2021,ENGL 203 Writing Poetry,B+,1
2021,INTD 035 Writing Associate Training,A,1
2021,ENGL 305 Screenwriting,A-,1
2021,ENGL 310 Linguistics,B,1
2021,CHDV 330 Middle Childhood,B+,1
2017,ANTH 214 Peoples&Cultures of Lat Amer.,A-,1
2021,ENGL 328 Shakespeare,A,1
2021,CHDV 315 Infancy through Early Chldhd,A,1
2021,"CHDV 211 Child, Family & Community",A-,1
2021,CHDV 497 Senior Seminar in Child Dev.,A,1
2021,ENGL 221 Mjr Brtsh/Amrcn Wrtrs frm 1785,B,1
2021,PHYS 103 The Nature of Light,C-,1
2018,GCS 100 Introduction to Globalization,C-,1
2021,PSYC 100 Introductory Psychology,C,1
2019,BSAD 489 Management Strategy and Policy,B,1
2017,PLSC 365 Warfare:Pursuit of Miltry Sec.,A-,1
2020,BSAD 350 International Business,B,1
2021,MATH 085 Precalculus Mathematics,F,1
2021,BSAD 308 Accounting Info: Decisn Making,B,1
2021,ECON 301 Intermediate Microecon. Theory,C+,1
2016,BSAD 341 Management Information Systems,C,1
2021,KNS 489 Seminar in Kineslgy&Nutrition,A,1
2019,BSAD 355 Dynamics of Leading Change,B,1
2021,ENGL 310 Linguistics,B+,1
2021,KNS 440 Motor Learning & Control,A-,1
2021,BSAD 310 Business Finance I,B+,1
2021,EDUC 508 SS Curric & Pedagogy I,A-,1
2021,BSAD 320 Marketing Principles,B,1
2021,EDUC 529 Intro to Exceptional Learners,A,1
2021,EDUC 605 Introduction Education Inquiry,A,1
2017,BIOL 300A Human Physiology & Anatomy I,A-,1
2017,BIOL 302 Applied Human Anatomy and Phys,B+,1
2019,EDUC 500 Soc/Anthr Perspective on Educ,A,1
2019,EDUC 506 Learning and Learners,A,1
2021,CHEM 471A Biochemistry I,A,1
2021,CHEM 471B Biochemistry II,A,1
2021,INTD 270 Introduction to Public Health,A,1
2021,BIOL 380 Cell Physiology,A,1
2021,BIOL 493 Senior Seminar,A-,1
2021,BIOL 341 Neurobiology,A,1
2021,EDUC 255 Perspectives on Science Educ,A-,1
2021,ENGL 120 Why Read?,B+,1
2021,BIOL 450 Bioinformatics,A,1
2017,BIOL 300A Human Physiology & Anatomy I,A,1
2021,MUS 103 American Popular Music,A-,1
2021,BIOL 381 Molecular Genetics,C,1
2021,BIOL 331 Immunology,C,1
2021,BIOL 493 Seminar,B+,1
2021,BIOL 345 Comparative Vertebrate Anatomy,C+,1
2021,BIOL 384 Marine Biology,C+,1
2021,BIOL 450 Bioinformatics,A,1
2016,CHEM 110A General Chemistry I,C+,1
2017,ANTH 290 Latino/a Peoples and Cultures,B,1
2017,"EDUC 505 MS Curr & Ped: LA w H-SS, V&PA",A,1
2017,EDUC 502 Literacy Devlp in Elem School,A,1
2017,EDUC 506 Learning and Learners,A,1
2021,EDUC 605 Introduction Education Inquiry,A,1
2021,EDUC 529 Intro to Exceptional Learners,A,1
2021,KNS 370 Cardiovascular Health,B-,1
2021,KNS 250 Appld Musculskltl Anatomy,C+,1
2021,KNS 313 Exercise Physiology,C,1
2021,PSYC 100 Introductory Psychology,C,1
2021,PSYC 352 Social Psychology,B-,1
2021,ART 101 Introduction to Art 3-D,A,1
2021,ENGL 310 Linguistics,C,1
2019,PSYC 285 Forensic Psychology,A-,1
2021,KNS 440 Motor Learning & Control,C+,1
2021,KNS 382 Social Issues in Sport,A-,1
2021,KNS 175 Sport Management,B+,1
2021,KNS 290 Exp the Gr Sprt Shrines of L.A,A-,1
2021,KNS 489 Seminar in Kinesiology,A,1
2021,KNS 475 Sports Law,B,1
2021,GEN 327 Sex and Gender in Anthropology,B-,1
2021,MATH 079 Quantitative Reasoning,B,1
2017,ANTH 214 Peoples&Cultures of Lat Amer.,C+,1
2021,PSYC 362 Psychology of Personality,C,1
2021,PSYC 266 Psychology of Human Sexuality,B,1
2021,BSAD 320 Marketing Principles,C,1
2019,ECON 201 Principles of Microeconomics,C-,1
2018,KNS 311 Biomechanics,C,1
2021,SPAN 325 Conversatn on Hispanic Culture,B+,1
2021,MUS 074 Music of Latin America,A,1
2021,PLSC 246 Russian Politics,B-,1
2019,ENGL 220 Major British Writers to 1785,B-,1
2019,ENGL 323 Dante,B,1
2019,ENGL 330 British Literature 1640-1789,B-,1
2021,ENGL 221 Mjr Brtsh/Amrcn Wrtrs frm 1785,C-,1
2021,"FREN 225 Conversation, Cultr & Comm.",A-,1
2021,FREN 356 Intro. to French Lit. II,A-,1
2021,FREN 477 Franco-African Cinema & Lit.,A,1
2021,FREN 305 Advanced French Conversation,A,1
2021,FREN 473 French Cinema,A,1
2021,HIST 246 Intro to Modern Latin America,B+,1
2021,ENGL 353 James Joyce,B-,1
2021,ENGL 305 Screenwriting,B,1
2021,ENGL 311 Hist. of the English Language,B+,1
2019,PSYC 285 Forensic Psychology,A,1
2021,ENGL 410 Senior Seminar,B,1
2021,ENGL 328 Shakespeare,B-,1
2021,PSYC 227 Stress & Disease in 21st Ctry,B,1
2021,ENGL 370 Contemporary American Fiction,B+,1
2021,ENGL 400 Critical Proced. in Lang/Lit.,B+,1
2021,"INTD 203 The Sea:Past, Present & Future",F,1
2017,FILM 320 Intro to Video Production,B+,1
2018,FREN 490 Special Topics in FREN,A-,1
2018,FREN 310 Composition and Stylistics,B+,1
2018,FREN 325 French Culture & Civilization,A,1
2018,FREN 355 Intro. to French Literature I,B+,1
2018,FREN 499 Senior Paper & Presentation,A,1
2018,MUS 206 Music in Film,B+,1
2017,BIOL 290 Human Biology,C-,1
2021,THEA 270 Film Genre,B,1
2021,MATH 079 Quantitative Reasoning,C,1
2021,PLSC 245 From Russia With Feeling,A,1
2021,PLSC 246 Russia from Lenin to Putin,A-,1
2021,PLSC 380 Normative Political Theory,C,1
2018,PLSC 220 International Relations,C-,1
2019,ENGL 362 American Realism & Naturalism,C,1
2021,ENGL 390 Selected Topics in ENGL,A,1
2021,HIST 347 Modern Mexico,C,1
2021,PLSC 252 Latin American Politics,F,1
2021,PLSC 340 Political Violence,C+,1
2021,PLSC 440 Seminar in Compartve Poltcs,C,1
2021,SOC 386 Racial and Ethnic Relations,C-,1
2021,MATH 079 Quantitative Reasoning,F,1
2018,REL 351 Religion & Politics in the US,C+,1
2021,ENGL 326 Topics in Shakespeare,B,1
2021,ENGL 202 Writing Short Fiction,B,1
2021,ENGL 370 Contemporary American Fiction,B,1
2021,ENGL 390 New Media & Narrative,A,1
2021,ENGL 302 Advanced Fiction Writing,A,1
2021,ENGL 400 Critical Proced. in Lang/Lit.,B+,1
2021,ENGL 308 Screenwriting: The TV Pilot,A-,1
2021,ENGL 375 Chicano(a) Literature,A,1
2016,PLSC 385 Research Methods,A-,1
2016,PLSC 385L Research Methods Lab,A-,1
2018,PLSC 260 Public Administration & Policy,C,1
2018,PLSC 202 The President & Congress,A,1
2019,ENVS 100 Intro to Environmental Science,C,1
2017,SOWK 373 Human Behav & the Social Envrn,B,1
2017,SOWK 363 Soc Wrk Prac III:Wrk/Comm&Org,B+,1
2019,SOWK 408 Integrative Seminar,B-,1
2021,PSYC 354 Diverse Identities,B-,1
2021,PHYS 100 Astronomy of the Solar System,C,1
2017,SOWK 412 Social Wrk Prac & Sem I,B-,1
2017,SOWK 414 Soc Wrk Prac & Sem III,B,1
2017,SOWK 310 Approaches to Social Research,A-,1
2017,SOWK 343 Soc Wrk Prac II:Wrk Groups,B,1
2017,SOWK 413 Soc Wrk Prac & Sem II,A,1
2017,ANTH 210 Cultural Anthropology,A-,1
2017,ANTH 214 Peoples&Cultures of Lat Amer.,B+,1
2017,FILM 170 Fundamentals of Cinema,B-,1
2017,FILM 290 Selected Topics/ Film Studies,A-,1
2016,PSYC 222 Biological Bases of Behavior,C+,1
2016,SOWK 240 Introduction to Social Work,B+,1
2016,SOWK 364 Social Welfare Policy & Svcs,A,1
2016,SOWK 340 SocWrkPrac I:WrkwithIndvd&Fam,A,1
2017,PSYC 214L Statistics - SPSS,B,1
2017,PSYC 214 Statistics,B,1
2021,THEA 345 Stage Lighting,A,1
2020,PHIL 350 Philosophy of Religion,F,1
2020,PHIL 230 Philosophical Issues on Film,A-,1
2021,PSYC 352 Social Psychology,A,1
2019,ENGL 220 Major British Writers to 1785,F,1
2021,ENGL 410 Senior Seminar,F,1
2021,ENGL 371 Contemporary American Poetry,D,1
2021,ENGL 353 James Joyce,F,1
2021,ENGL 310 Linguistics,A,1
2021,ENGL 311 Hist. of the English Language,B+,1
2021,ENGL 324 Chaucer,B-,1
2021,ENGL 326 Topics in Shakespeare,C,1
2021,ENGL 321 British Lit. 700-1500,B,1
2021,ENGL 384 Robin Hood Through the Ages,B,1
2021,ENGL 220 Major British Writers to 1785,A,1
2021,INTD 265 Nanotechnology and Society,A-,1
2021,ENVS 200 Biological Anthropology,C-,1
2021,ART 323 Painting II,B+,1
2021,ENGL 326 Topics in Shakespeare,F,1
2021,ENGL 400 Critical Proced. in Lang/Lit.,F,1
2021,ENGL 400 Critical Proced. in Lang/Lit.,B,1
2021,ENGL 410 Senior Seminar,A-,1
2017,REL 200 Exploring Religion,B,1
2021,ART 206 Western Art: 15-20th Centuries,B,1
2021,MUS 074 Music of Latin America,C+,1
2018,PLSC 220 International Relations,B-,1
2019,ORGL 355 Dynamics of Leading Change,B+,1
2020,BSAD 350 International Business,B+,1
2021,BSAD 201 Principles of Financial Acctg,B-,1
2021,BSAD 340 Humanistic Values & Management,B+,1
2021,BSAD 310 Business Finance I,B,1
2021,ART 120 Intro to Dgtl Art:Software Lit,A,1
2021,ART 224 Graphic Design II,A,1
2021,HIST 351 Cuban Revolution,C+,1
2018,HIST 359 Early NorthAm Envrntmntl Hist,B+,1
2021,CHIN 150 Chinese Cinema,A,1
2021,CHDV 105 Intro. to Child Development,A-,1
2021,BSAD 320 Marketing Principles,B+,1
2021,ORGL 335 Leadership Practicum,A,1
2021,BSAD 231 Business Law,B+,1
2016,ECON 200 Principles of Econ: Macro,C+,1
2021,ECON 390 International Trade,C,1
2021,PHYS 135A Algebra-based Phys I (MWO),B-,1
2017,BSAD 202 Principles of Managerial Acctg,B-,1
2018,BSAD 489 Management Strategy and Policy,A,1
2018,ORGL 480 Leadership Policy and Strategy,A,1
2021,MUS 103 American Popular Music,B,1
2021,MUS 074 Music of Latin America,B,1
2021,MUS 104 Music Business,A,1
2021,ART 388 Advanced Art Seminar,B,1
2021,"PHYS 101 Astronomy-Stars, Galxy & Unvrs",A-,1
2021,MUS 100H Harmony I,C+,1
2021,MUS 100M Musicianship I,B,1
2021,MUS 070 Intro to Music Thry & Muscnshp,A,1
2021,BSAD 201 Principles of Financial Acctg,B-,1
2016,ORGL 100 Foundations of Leadership,B+,1
2021,"WSP 101 The Indivd, Identity & Comm.",A-,1
2021,WSP 401 Senior Seminar,B,1
2021,ART 222 Painting I,A-,1
2021,ART 200 Digital Photography I,A-,1
2021,ART 288 Seminar in Visual Thinking,A-,1
2017,ART 221 Printmaking Workshop,A,1
2021,BSAD 320 Marketing Principles,A-,1
2021,BSAD 362 Social Media Marketing,A-,1
2017,FILM 320 Intro to Video Pro for Dig Med,A-,1
2021,BSAD 231 Business Law,B,1
2018,MATH 085 Precalculus Mathematics,A,1
2018,MUS 111 Intro. to Music Technology,A,1
2017,REL 210 Introduction to Biblical L.,A-,1
2019,BSAD 489 Management Strategy and Policy,A,1
2021,PHYS 100 Astronomy of the Solar System,A,1
2020,BSAD 392 Business Internship,A,1
2021,BSAD 390 Selected Topics in BSAD,A-,1
2021,BSAD 310 Business Finance I,A-,1
2017,SOC 180 Applied Community Workshop,A,1
2021,BSAD 362 Social Media Marketing,A,1
2019,ECON 361 Environmental Economics,A,1
2017,THEA 320 Intro to Video Production,A,1
2017,THEA 270 Film Genre: Science Fiction,A,1
2016,BSAD 341 Management Information Systems,A-,1
2021,PLSC 480 Seminar in Political Theory,A-,1
2017,PLSC 365 Warfare:Pursuit of Miltry Sec.,B,1
2021,FREN 499 Senior Paper & Presentation,A,1
2021,FREN 356 Intro. to French Lit. II,B,1
2021,FREN 305 Advanced French Conversation,A,1
2021,ENVS 100 Intro to Environmental Science,C,1
2021,PSYC 336 Cognitive Psychology,C,1
2021,COSC 190 AI Computer Vision & Cognition,B,1
2016,SOC 354 Political Sociology,C+,1
2016,PLSC 280 Research Methods,A,1
2018,FREN 490 Special Topics in FREN,D,1
2019,BSAD 489 Management Strategy and Policy,A-,1
2020,BSAD 423 International Marketing,B,1
2021,BSAD 310 Business Finance I,B,1
2021,PSYC 227 Stress & Disease in 21st Ctry,B,1
2018,BSAD 422 Consumer Behavior,B+,1
2021,BSAD 202 Principles of Managerial Acctg,B-,1
2016,BSAD 341 Management Information Systems,B,1
2021,MUS 103 American Popular Music,A-,1
2021,PLSC 480 Seminar in Political Theory,A,1
2021,PHIL 300 Early Chinese Philosophy,B+,1
2020,BSAD 290 Managing Creativity and Innov,B,1
2021,INTD 265 Nanotechnology and Society,B+,1
2021,BIOL 152 Biology of Organisms,B,1
2016,PLSC 280 Research Methods,A-,1
2016,SOWK 241 Introduction to Social Work,A,1
2017,SOWK 373 Human Behav & the Social Envrn,A,1
2021,MUS 076 A World of Music,A-,1
2021,PSYC 352 Social Psychology,B+,1
2021,PSYC 344 Psychology of Adolescence,C+,1
2021,ART 219 Ceramic Sculpture Workshop,B+,1
2021,ENGL 310 Linguistics,A-,1
2021,PSYC 372 Abnormal Psychology,B,1
2021,PSYC 376 Clinical Communication,B,1
2021,PSYC 415 Literature Review Seminar,A,1
2021,PSYC 499 Senior Presentation,A,1
2021,PSYC 212 Research Methods,B-,1
2021,PSYC 248 Psychology of Aging,B,1
2016,PSYC 222 Biological Bases of Behavior,B+,1
2016,PSYC 224 Language and the Brain,B+,1
2016,PSYC 290 Motivation & Emotion,A-,1
2016,SOWK 364 Social Welfare Policy & Svcs,A,1
2016,SOWK 340 SocWrkPrac I:WrkwithIndvd&Fam,A,1
2016,SOWK 363 Soc Wrk Prac III:Wrk/Comm&Org,A,1
2018,SOC 302 Social Theory in Social Contex,B,1
2021,PSYC 352 Social Psychology,B+,1
2021,SOC 214 Statistics,B-,1
2021,SOC 214L Statistics - SPSS,A-,1
2021,ENGL 310 Linguistics,B,1
2021,BSAD 201 Principles of Financial Acctg,C,1
2021,SOC 407 Senior Seminar A,B,1
2021,SOC 408 Senior Seminar B,B+,1
2021,BSAD 310 Business Finance I,B-,1
2021,SOC 310 Research Methods,B+,1
2017,ANTH 290 Afro Brazilian Comm and Cltur,A,1
2021,PSYC 227 Stress & Disease in 21st Ctry,A,1
2021,BSAD 320 Marketing Principles,B+,1
2016,SOC 390L Social Movements Lab,A,1
2016,SOC 390 Environmental Movements,A,1
2021,BSAD 231 Business Law,B-,1
2018,MATH 085 Precalculus Mathematics,C-,1
2017,ANTH 250 Understanding Cultures,A,1
2017,ANTH 290 Anthropology of Food,B,1
2019,BSAD 489 Management Strategy and Policy,B,1
2019,BSAD 355 Dynamics of Leading Change,A,1
2018,PSYC 242 Child Psychology,B,1
2021,ENGL 310 Linguistics,B,1
2019,BSAD 308 Accounting Info: Decisn Making,B,1
2021,BSAD 213 Financial Crisis,B+,1
2021,EDUC 501 Teaching Diverse Learners,A,1
2021,PSYC 212 Research Methods,B,1
2018,EDUC 500 Soc/Anthr Perspective on Educ,A,1
2018,EDUC 506 Learning and Learners,A,1
2021,EDUC 529 Intro to Exceptional Learners,A,1
2021,EDUC 605 Introduction Education Inquiry,A,1
2021,THEA 240 Intro to Design & Technology,A,1
2019,BSAD 489 Management Strategy and Policy,A,1
2021,ENGL 290 Writing Workshop:,A,1
2021,ENGL 328 Shakespeare,A-,1
2021,THEA 220 Voice and Mvmnt for the Actor,A,1
2021,THEA 070 Actor's Lab,A,1
2021,THEA 315 Fundamtls of Stage Direction,A-,1
2021,THEA 372A World Theatre,A,1
2021,THEA 372B World Theatre,A,1
2021,THEA 485 Senior Project in Theatre,A-,1
2016,MUS 018 College Choir,A,1
2016,MUS 018 College Choir,A,1
2016,MUS 051 Chamber Music: Voce/Chamber,A,1
2016,MUS 051 Chamber Music: Voce/Chamber,A,1
2016,INTD 390 Musical Theatre Workshop,A,1
2021,BSAD 201 Principles of Financial Acctg,A,1
2021,BSAD 310 Business Finance I,A,1
2021,THEA 308 Screenwriting: TV Pilot,A-,1
2018,BSAD 130 Business and Society,B+,1
2021,BSAD 422 Consumer Behavior,B+,1
2021,BSAD 320 Marketing Principles,A,1
2019,ECON 301 Intermediate Microecon. Theory,A,1
2016,MATH 080 Elementary Statistics,A,1
2021,BSAD 231 Business Law,A,1
2016,ECON 200 Principles of Econ: Macro,A,1
2018,MUS 206 Music in Film,A-,1
2017,BSAD 435 Leading/Growing Small Business,A,1
2017,BSAD 202 Principles of Managerial Acctg,A-,1
2018,BSAD 350 International Business,B,1
2019,SOWK 067 Experience in Social Work,A,1
2019,SOWK 241 Introduction to Social Work,F,1
2021,SPAN 284 Women's Voices in Hispanic Wor,C-,1
2021,PSYC 100 Introductory Psychology,C-,1
2019,ENGL 363 Modern American Novel,C,1
2021,"PHYS 101 Astronomy-Stars, Galxy & Unvrs",F,1
2021,PLSC 140 Comparative Politics,B-,1
2020,BSAD 350 International Business,B-,1
2020,BSAD 423 International Marketing,A-,1
2021,BSAD 201 Principles of Financial Acctg,C,1
2021,BSAD 310 Business Finance I,D,1
2021,MATH 080 Elementary Statistics,D,1
2021,ART 210 Drawing I,D,1
2021,ENGL 120 Why Read?,B-,1
2021,ECON 383 Comparative Economic Systems,C-,1
2021,ENGL 370 Contemporary American Fiction,B-,1
2021,BSAD 320 Marketing Principles,D,1
2019,ECON 201 Principles of Microeconomics,D,1
2021,BSAD 202 Principles of Managerial Acctg,F,1
2018,MATH 085 Precalculus Mathematics,D,1
2020,ECON 200 Principles of Econ: Macro,C-,1
2017,BSAD 202 Principles of Managerial Acctg,F,1
2017,BSAD 231 Business Law,F,1
2019,ENGL 363 Modern American Novel,B,1
2021,ART 252 Sculpture I,A,1
2021,THEA 070 Actor's Lab,A,1
2018,ENGL 290 Try Not to Scream: Horror,A-,1
2017,THEA 170 Fundamentals of Cinema,A-,1
2018,COSC 120 Computer Science I,C,1
2021,MATH 241 Calculus & Analytic Geo. III,C-,1
2021,MATH 350 Numerical Analysis,C-,1
2019,BSAD 489 Management Strategy and Policy,B+,1
2020,BSAD 350 International Business,A-,1
2021,BSAD 310 Business Finance I,C+,1
2021,REL 340 Global Ethics,B+,1
2021,MATH 280 Abstract Thinking,C,1
2021,ART 200 Digital Photography I,B,1
2021,MATH 345A Differential Equations I,A,1
2021,MATH 354 Mathematical Modeling,A-,1
2021,ECON 383 Comparative Economic Systems,C-,1
2018,BSAD 390 Negotiation Strategies,A-,1
2021,BSAD 320 Marketing Principles,B+,1
2019,ECON 363 Energy and Climate Change,C,1
2019,ECON 301 Intermediate Microecon. Theory,C,1
2016,SOC 244 Social Class and Inequality,A-,1
2016,MATH 242 Intro DE/Lin Algebra,B,1
2021,BSAD 202 Principles of Managerial Acctg,C,1
2017,MATH 315 Probability and Statistics,B,1
2021,ECON 201 Principles of Econ: Micro.,C-,1
2017,BSAD 307 Federal Tax Accounting,C+,1
2021,ECON 300 Intermediate Macroecon. Theory,C-,1
2021,MUS 051 Chamber Music: Winds/Brass,A,1
2021,MUS 051 Chamber Music: Winds/Brass,A,1
2021,MUS 051 Chamber Music: Winds/Brass,A,1
2021,MUS 203 Music History I,C,1
2021,MUS 204 Music History II,C,1
2021,MUS 300 Instrumentation,C,1
2021,MUS 305 Conducting,B,1
2021,MUS 310 Recording Techniques,C+,1
2021,MUS 400A Senior Seminar in Music,B,1
2021,MUS 400B Senior Seminar in Music,C-,1
2021,MUS 075 Music of Africa,A-,1
2021,MUS 104 Music Business,B+,1
2019,ENGL 220 Major British Writers to 1785,C-,1
2021,MUS 051 Handbells,A,1
2021,MUS 051 Handbells,A,1
2021,MUS 051 Handbells,A,1
2021,MUS 198 Private Instruction: Comp,A,1
2021,MUS 198 Priv Inst - Composition,B,1
2021,MUS 198 Private Instruction: Comp,A,1
2021,ENGL 389 Lord of the Rings: JRR Tolkien,B,1
2016,MUS 111 Intro. to Music Technology,A,1
2021,ENGL 332 19th-Century English Novel,C,1
2021,ENGL 221 Mjr Brtsh/Amrcn Wrtrs frm 1785,D,1
2021,ENGL 390 New Media & Narrative,B-,1
2021,BSAD 362 Social Media Marketing,A-,1
2017,FILM 320 Intro to Video Pro for Dig Med,A,1
2016,PLSC 206 TheMedia&ThePolitcalProcess,B-,1
2017,ANTH 290 Selected Topics in ANTH,D,1
2021,PHYS 135A Algebra-based Phys I (MWO),D,1
2017,REL 244 Muscular Faith,C+,1
2021,MUS 104 Music Business,B,1
2021,ART 219 Ceramic Sculpture Workshop,A-,1
2021,BSAD 310 Business Finance I,B-,1
2021,ECON 305 Introduction to Econometrics,C+,1
2021,ECON 400A Senior Project I,B-,1
2021,ECON 400B Senior Project II,B-,1
2021,ECON 390 Migration in Global Perspectiv,B,1
2021,BSAD 320 Marketing Principles,A,1
2021,BSAD 362 Social Media Marketing,B+,1
2019,ECON 363 Energy and Climate Change,C,1
2021,BSAD 231 Business Law,B+,1
2021,ECON 386 Growth & Development,B,1
2017,ECON 310 Money and Banking,A-,1
2021,COSC 220 Computer Science II,F,1
2021,PHYS 250 Computational Osclltns & Waves,C,1
2021,PSYC 352 Social Psychology,A,1
2021,PHYS 275 Optics & Modern Physics,B,1
2021,PHYS 310 Mechanics,D,1
2021,PLSC 140 Comparative Politics,B+,1
2021,ENGL 310 Linguistics,B,1
2021,ENGL 389 Lord of the Rings: JRR Tolkien,B+,1
2018,PHYS 499B Senior Seminar II,B-,1
2021,PHYS 205 Elctrncs & Computer Intrfacng,C+,1
2021,PHYS 320 Optics,B-,1
2021,PHYS 380 Experimental Physics,C+,1
2021,PHYS 305 Robotics with Arduino,A-,1
2021,PHYS 375 Solid State Physics,D,1
2021,MATH 345A Differential Equations I,A-,1
2016,PHYS 330 Electromagnetic Theory,C,1
2017,FILM 290 Selected Topics/ Film Studies,A,1
2016,CHEM 110A General Chemistry I,B+,1
2021,PHYS 306 Computer Logic and Circuit Des,A-,1
2021,CHEM 471A Biochemistry I,B,1
2021,INTD 035 Writing Associate Training,A,1
2021,ENGL 389 Lord of the Rings: JRR Tolkien,A,1
2019,PSYC 285 Forensic Psychology,A,1
2021,PHYS 135B Algebra-based Phys II (EMP),B+,1
2021,CHEM 231A Organic Chemistry I,B+,1
2021,CHEM 231B Organic Chemistry II,A,1
2021,CHEM 233A Organic Chemistry Laboratory,B,1
2021,CHEM 233B Organic Chemistry II Lab,A,1
2021,BIOL 343 Microbiology,B+,1
2021,BIOL 152 Biology of Organisms,A-,1
2021,PSYC 362 Psychology of Personality,A,1
2021,PSYC 382 Health Psychology,A,1
2021,ENGL 308 Screenwriting: The TV Pilot,A-,1
2017,FILM 270 Film Genre: Science Fiction,A,1
2016,PSYC 396 Research Practicum,A,1
2016,PSYC 396 Research Practicum,A,1
2016,PSYC 415 Literature Review Seminar,B,1
2016,PSYC 499 Senior Presentation,A,1
2016,PSYC 332 Sensation and Perception,A,1
2016,PSYC 224 Language and the Brain,A,1
2021,PHYS 135A Algebra-based Phys I (MWO),A-,1
2018,CHEM 471B Biochemistry II,A-,1
2017,REL 495 Independent Study,A,1
2017,REL 244 Muscular Faith,A,1
2018,ENST 321 China: Environment/History,A,1
2020,PHIL 350 Philosophy of Religion,A,1
2019,ENGL 220 Major British Writers to 1785,A,1
2021,ENGL 221 Mjr Brtsh/Amrcn Wrtrs frm 1785,A,1
2021,ENGL 410 Senior Seminar,A,1
2021,CHIN 121 Elementary Chinese II,A-,1
2021,CHIN 120 Elementary Chinese I,A,1
2021,REL 395 Independent Study,A,1
2021,"REL 313 Heroes, Gods and Gurus",A,1
2018,REL 351 Public and Popular Rel.,A,1
2021,ENVS 352 Long-term Environmental Change,A,1
2021,CHIN 220 Intermediate Chinese I,A,1
2021,CHIN 221 Intermediate Chinese II,A,1
2021,ENGL 400 Critical Proced. in Lang/Lit.,A,1
2021,ENGL 202 Writing Short Fiction,A,1
2021,"REL 290 Gender, Sexuality, and Islam",A,1
2021,MUS 104 Music Business,A,1
2019,BSAD 489 Management Strategy and Policy,B,1
2021,"PHYS 101 Astronomy-Stars, Galxy & Unvrs",C-,1
2021,CHIN 320 Composition and Conversation,B-,1
2021,BSAD 310 Business Finance I,C+,1
2021,CHIN 350 Chinese Cinema,B,1
2021,BSAD 362 Social Media Marketing,B+,1
2017,MATH 085 Precalculus Mathematics,C,1
2021,ECON 390 International Trade,B-,1
2021,KNS 275 Concepts of Healthy Living,B,1
2017,EDUC 401 Teaching Diverse Learners,A,1
2017,EDUC 402 Literacy Devlp in Elem Sch,A,1
2017,"EDUC 405 MS Curr&Ped: LA w/ H-SS, V&PA",B-,1
2021,CHDV 330 Middle Childhood,B,1
2021,CHDV 390 Racial/Ethnic Socialization,B-,1
2018,REL 307 Religion and the Body,B+,1
2021,EDUC 404 Scnd Lang Acquisition Methdlgy,A,1
2021,PSYC 362 Psychology of Personality,C,1
2021,PSYC 382 Health Psychology,B-,1
2021,CHDV 315 Infancy through Early Chldhd,B+,1
2021,"CHDV 211 Child, Family & Community",B,1
2021,CHDV 497 Senior Seminar in Child Dev.,A,1
2016,INTD 290 Moving Water,A,1
2016,PSYC 352 Social Psychology,B,1
2017,REL 321 Religion in America,A,1
2021,ART 207 Women and the Visual Arts,A,1
2021,ART 366 Art of the Eighteenth Century,B,1
2021,ART 392 Seminar in Modern Art,A,1
2021,SPAN 310 Advanced Spanish Gramr & Comp,A,1
2019,ENGL 363 Modern American Novel,A-,1
2019,ENGL 373 African-American Literary Trad,A,1
2019,ENGL 377 Autobiography & Amer Culture,A,1
2021,ART 252 Sculpture I,A,1
2021,ART 388 Advanced Art Seminar,A,1
2021,"PHYS 101 Astronomy-Stars, Galxy & Unvrs",A,1
2021,ENGL 328 Shakespeare,A,1
2021,ART 389 Senior Project in Studio Art,B,1
2021,SPAN 221 Intermediate Spanish II,A,1
2017,ART 311 Special Projects in Drawing,A,1
2017,ART 343 Printmaking II,A,1
2018,SPAN 290 Oral Hist&Digital Storytell.SW,A,1
2021,MUS 310 Recording Techniques,D,1
2021,MUS 104 Music Business,B+,1
2018,ENST 348 Food and Food Systems,C,1
2021,"WSP 301 Nature,Theor & Bases Knwldge",C,1
2016,MUS 051 Chamber Music: Voce/Chamber,A,1
2020,BSAD 350 International Business,B+,1
2020,BSAD 360 Sustainable Development,A,1
2021,BSAD 340 Humanistic Values & Management,B,1
2021,INTD 357 Globalization and Environment,B,1
2017,ENVS 100 Intro to Environmental Science,B+,1
2021,"WSP 101 The Indivd, Identity & Comm.",B,1
2018,GEN 385 Feminist Philosophy,A-,1
2021,ENVS 360 World's Views,A,1
2021,PSYC 382 Health Psychology,B,1
2019,ENST 365 Agricultural and Natural Res,B-,1
2018,MUS 051 Chamber Music: Voce/Chamber,A,1
2018,MUS 051 Chamber Music: Voce/Chamber,A-,1
2017,SOWK 373 Human Behav & the Social Envrn,F,1
2021,CHDV 220 Fld Mthds:Chld Study Obs/Inter,F,1
2017,SOWK 412 Social Wrk Prac & Sem I,F,1
2017,SOWK 343 Soc Wrk Prac II:Wrk Groups,C,1
2016,PSYC 222 Biological Bases of Behavior,B,1
2016,SOWK 340 SocWrkPrac I:WrkwithIndvd&Fam,A,1
